Paper ID,Title,URL,Venue,Year
1,"Too Many Notes: Computers, Complexity and Culture in ""Voyager""",https://www.youtube.com/watch?v=hO47LiHsFtc&list=RDhO47LiHsFtc&start_radio=1,Leonardo Music Journal,2000
2,Reflexive Loopers for Solo Musical Improvisation,https://www.youtube.com/watch?v=Xp8tixrPM1U,CHI,2013
3,Shimon: an interactive improvisational robotic marimba player,https://www.youtube.com/watch?v=0dOn-EvSPUs,CHI EA,2010
4,Piano Genie,,IUI,2019
5,BachDuet: A Deep Learning System for Human-Machine Counterpoint Improvisation,,NIME,2020
6,Adaptive Accompaniment with ReaLchords,,ICML,2024
7,Spire Muse:  A virtual musical partner for creative brainstorming,,NIME,2021
8,GenJam: A Genetic Algorithm for Generating Jazz Solos,,ICMC,1994
9,Cocreative Interaction: Somax2 and the REACH Project,,Computer Music Journal,2022
10,RAVE: A variational autoencoder for fast and high-quality neural audio synthesis,,Preprint,2021
11,VampNet: Music generation via masked acoustic token modeling,,ISMIR,2023
12,M and Jam Factory,,Computer Music Journal,1987
13,The Synthetic Performer in The Context of Live Performance,,ICMC,1984
14,Mimi4x: an interactive audio-visual installation for high-level structural improvisation,https://www.youtube.com/watch?v=lFlFrHdJwwI,ICME,2010
15,Approaches to Musical Expression in Harmonix Video Games (The Axe),,Mathemusical Conversations: Mathematics and Computation in Music Performance and Composition,2016
16,Reflections on Eight Years of Instrument Creation with Machine Learning,,NIME,1997
17,AI-terity 2.0: An Autonomous NIME Featuring GANSpaceSynth Deep Learning Model,,NIME,2021
18,Composing the Assemblage: Probing Aesthetic and Technical Dimensions of Artistic Creation with Machine Learning (Case 1),,Computer Music Journal,2022
19,"The Jam_bot, a real-time system for collaborative free improvisation with music language models",,ISMIR,2025
20,Improvised Performance Following in Real Time for Automatic Accompaniment,,ICASSP,2025
21,Real-time Timbre Remapping with Differentiable DSP,,NIME,2024
22,The reactive accompanist: Adaptation and behavior decomposition in a music system,,The Biology and Technology of Intelligent Autonomous Agents,1995
23,BoB: an interactive improvisational music companion,https://quod.lib.umich.edu/i/icmc/bbp2372.2001.106/--machine-learning-techniques-for-real-time-improvisational?view=image,AGENTS,2000
24,A Bayesian Network for Real-Time Musical Accompaniment,,NIPS,2001
25,The continuator: Musical interaction with style.,,Journal of New Music Research,2003
26,ImproteK: Introducing Scenarios into Human-Computer Music Improvisation,,CIE,2017
27,In a Silent Way: Communication Between AI and Improvising Musicians Beyond Sound,,CHI,2019
28,RL-Duet: Online Music Accompaniment Generation Using Deep Reinforcement Learning,,AAAI,2020
29,SongDriver: Real-time Music Accompaniment Generation without Logical Latency nor Exposure Bias,,MM,2022
30,Magenta RealTime: An Open-Weights Live Music Model (to be Arxiv'ed this month),https://www.arxiv.org/pdf/2508.04651,Preprint,2025
31,An On-Line Algorithm for Real-Time Accompaniment,,ICMC,1984
32,Active Trading with Impro-Visor,,MUME,2016
33,"The Wekinator: a system for real-time, interactive machine learning in music",,NIME,2009
34,Stacco: Exploring the Embodied Perception of Latent Representations in Neural Synthesis,https://www.youtube.com/watch?v=Bt3O-jhSqiU&t=75s,NIME,2024
35,Gestural hyper instrument collaboration with generative computation for real time creativity,https://dl.acm.org/doi/10.1145/1254960.1254990,C&C,2007
36,Gestroviser: Toward Collaborative Agency in Digital Musical Instruments.,https://www.nime.org/proc/wmarley2015/index.html,NIME,2015
37,The Scale Navigator: A System for Networked Algorithmic Harmony,https://www.nime.org/proc/turczan2019/index.html,NIME,2019
38,Automatic Rhythmic Performance in Max/MSP: the kin.rhythmicator,https://www.nime.org/proc/sioros2011/index.html,NIME,2011
39,Enabling Multimodal Mobile Interfaces for Musical Performance,https://www.nime.org/proc/roberts2013/index.html,NIME,2013
40,A Physical Intelligent Instrument using Recurrent Neural Networks,https://www.nime.org/proc/nss2019/index.html,NIME,2019
41,Mapping to musical actions in the FILTER system,https://www.nime.org/proc/nort2012/index.html,NIME,2012
42,Towards a Human-Centric Design Framework for AI Assisted Music Production,https://www.nime.org/proc/nime20_78/index.html,NIME,2020
43,ExSampling: a system for the real-time ensemble performance of field-recorded environmental sounds,https://www.nime.org/proc/nime20_58/index.html,NIME,2020
44,Crowd-driven Music: Interactive and Generative Approaches using Machine Vision and Manhattan,https://www.nime.org/proc/nime20_49/index.html,NIME,2020
45,Brainwaves-driven Effects Automation in Musical Performance,https://www.nime.org/proc/nime20_105/index.html,NIME,2020
46,Designing Percussive Timbre Remappings: Negotiating Audio Representations and Evolving Parameter Spaces,https://www.nime.org/proc/nime2025_66/index.html,NIME,2025
47,Live Improvisation with Fine-Tuned Generative AI: A Musical Metacreation Approach,https://www.nime.org/proc/nime2025_54/index.html,NIME,2025
48,"Evolving the Living Looper: Artistic Research, Online Learning, and Tentacle Pendula",https://www.nime.org/proc/nime2025_36/index.html,NIME,2025
49,Repurposing a Rhythm Accompaniment System for Pipe Organ Performance,https://www.nime.org/proc/nime2025_16/index.html,NIME,2025
50,TungnaÃ¡: a Hyper-realistic Voice Synthesis Instrument for Real-Time Exploration of Extended Vocal Expressions,https://www.nime.org/proc/nime2024_78/index.html,NIME,2024
51,Improvise+=Chain: Listening to the Ensemble Improvisation of an Autoregressive Generative Model,https://www.nime.org/proc/nime2023_94/index.html,NIME,2023
52,SnakeSynth: New Interactions for Generative Audio Synthesis,https://www.nime.org/proc/nime2023_90/index.html,NIME,2023
53,Rethinking Reflexive Looper for structured pop music,https://www.nime.org/proc/mmarchini2017/index.html,NIME,2017
54,SoundGrasp : A Gestural Interface for the Performance of Live Music,https://www.nime.org/proc/mitchell2011/index.html,NIME,2011
55,An Interactive Musical Prediction System with Mixture Density Recurrent Neural Networks,https://www.nime.org/proc/martin2019/index.html,NIME,2019
56,"Integrating HyperInstruments , Musical Robots & Machine Musicianship for North Indian Classical Music",https://www.nime.org/proc/kapur2007/index.html,NIME,2007
57,Improvised Duet Interaction: Learning Improvisation Techniques for Automatic Accompaniment,https://www.nime.org/proc/gxia2017/index.html,NIME,2017
58,Wearable Interfaces for Cyberphysical Musical Expression,https://www.nime.org/proc/godbehere2008/index.html,NIME,2008
59,Music for Flesh II: informing interactive music performance with the viscerality of the body system,https://www.nime.org/proc/donnarumma2012/index.html,NIME,2012
60,Musical Exoskeletons : Experiments with a Motion Capture Suit,https://www.nime.org/proc/collins2010a/index.html,NIME,2010
61,BRAAHMS: A Novel Adaptive Musical Interface Based on Users' Cognitive State,https://www.nime.org/proc/byuksel2015/index.html,NIME,2015
62,When Counterpoint Meets Chinese Folk Melodies,https://papers.nips.cc/paper_files/paper/2020/hash/bae876e53dab654a3d9d9768b1b7b91a-Abstract.html,NeurIPS,2020
63,Toward Real-Time Recognition of Instrumental Playing Techniques for Mixed Music: A Preliminary Analysis,https://hal.science/hal-04263718/file/Toward_Real_Time_Recognition_of_Instrumental_Playing_Techniques_for_Mixed_Music__A_Preliminary_Analysis_camera-ready.pdf,ICMC,2023
64,The New StochGran: Expanded Stochastic Granular Synthesis Tools,https://drive.google.com/file/d/1aqgqYWbB1tgwU7ulXZguvKgcCO7VeCM8/view?usp=drive_link,ICMC,2023
65,LEM: a sound object that performs Live Electronic Music and proposes a new way to compose and distribute music,,ICMC,2022
66,MYtrOmbone: exploring gesture controlled live electronics in solo trombone performance,https://www.open-access.bcu.ac.uk/14157/1/MYtrOmbone-2020-FINAL-1.2.pdf,ICMC,2021
67,Generate or Search: Na¨ıve Search Can Augment Piano Improvisation Experiences of Novice Players,https://drive.google.com/file/d/11ijp44Zm4TLHWy7l7Bhtu6jiHRWZTF2C/view?usp=drive_link,ICMC,2021
68,Drumductor: A Gesture-Augmented Drum Pattern Generator,https://www.fulcrum.org/epubs/9880vt18d?locale=en#page=412,ICMC,2019
69,Imitation Game: Real-time Decision-making in an Inter- active Composition for Human and Robotic Percussionist,https://interagency.iem.at/pdfs/Gioti_ICMC2019.pdf,ICMC,2019
70,Proposal of Score-Following Reflecting Gaze Information on Cost of DP matching,https://quod.lib.umich.edu/i/icmc/bbp2372.2017.022/--proposal-of-score-following-reflecting-gaze-information?view=image,ICMC,2017
