ID,Aspect,New Aspect,Dimension,New Dimension,Code,New Code
1,Use Context,Usage Context,Use Purpose,Use Purpose,Live performance,Live performance
2,Use Context,Usage Context,Use Purpose,Use Purpose,Composition,Composition
3,Use Context,Usage Context,Use Purpose,Use Purpose,Entertainment,Recreation
4,Use Context,Usage Context,Use Purpose,Use Purpose,Skill acquisition,Skill acquisition
5,Use Context,Usage Context,Use Purpose,Use Purpose,Art installation,Art installation
6,Use Context,Usage Context,Use Purpose,Use Purpose,Other,Other
7,Use Context,Usage Context,Use Purpose,Use Purpose,NA,NA
8,Use Context,Usage Context,Musical Context,Musical Context,Jazz Improvisation,Jazz
9,Use Context,Usage Context,Musical Context,Musical Context,Electronic music,Electronic music
10,Use Context,Usage Context,Musical Context,Musical Context,New music,New music
11,Use Context,Usage Context,Musical Context,Musical Context,Western classical,Western classical
12,Use Context,Usage Context,Musical Context,Musical Context,Popular music,Popular music
13,Use Context,Usage Context,Musical Context,Musical Context,Traditional music,Traditional music
14,Use Context,Usage Context,Musical Context,Musical Context,Live coding,Live coding
15,Use Context,Usage Context,Musical Context,Musical Context,Virtuosic practice,Virtuosic practice
16,Use Context,Usage Context,Musical Context,Musical Context,Non-specific,Non-specific
17,Use Context,Usage Context,Musical Context,Musical Context,Other,Other
18,Use Context,Usage Context,Musical Context,Musical Context,NA,NA
19,Use Context,Usage Context,Musical Context,Musical Context,Score-based,Repertoire
20,Use Context,Usage Context,Target User ,Target User ,Musicians,Musicians
21,Use Context,Usage Context,Target User ,Target User ,Novice users,Novice users
22,Use Context,Usage Context,Target User ,Target User ,Audience,Audience
23,Use Context,Usage Context,Target User ,Target User ,Other,Other
24,Use Context,Usage Context,Target User ,Target User ,NA,NA
25,Use Context,Usage Context,Collaboration Structure,Participant Topology,1:1 collaboration,1:1
26,Use Context,Usage Context,Collaboration Structure,Participant Topology,1:N collaboration,1:N
27,Use Context,Usage Context,Collaboration Structure,Participant Topology,N:1 collaboration,N:1
28,Use Context,Usage Context,Collaboration Structure,Participant Topology,N:N collaboration,N:N
29,Use Context,Usage Context,Collaboration Structure,Participant Topology,Agent only,0:N (Agent only)
30,Use Context,Usage Context,Collaboration Structure,Participant Topology,Other,Other
31,Use Context,Usage Context,Collaboration Structure,Participant Topology,NA,NA
32,Use Context,Usage Context,Agent role,Agent Role,Lead,Lead
33,Use Context,Usage Context,Agent role,Agent Role,Accompanist,Accompanist
34,Use Context,Usage Context,Agent role,Agent Role,Controller,Controller
35,Use Context,Usage Context,Agent role,Agent Role,Mapper,Mapper
36,Use Context,Usage Context,Agent role,Agent Role,Remixer,Remixer
37,Use Context,Usage Context,Agent role,Agent Role,Interpreter,Interpreter
38,Use Context,Usage Context,Agent role,Agent Role,Conductor,Conductor
